구매오더,회사코드,구매오더품번,자재,자재내역,자재유형,자재그룹,오더수량,오더단위,금액,통화,납품일,납품상태,플랜트,입고일,입고수량,입고금액(현지통화),제품군,품목유형
4500276771,1200,10,7000304,다이아벡스XR 서방정 500mg 60T,HAWA,A900,130000.0,EA,299000.0,EUR,2026-06-01,지연,1210,,0.0,0.0,다이아벡스,상품
4500300126,1200,30,7300174,스타빅현탁액 20mL 100PP(20포X5EA),HAWA,A190,23000.0,EA,307280.0,USD,2026-06-01,지연,1210,2026-06-05,22824.0,456686521.0,스타빅,상품
4500300339,1200,10,1000279,Gabapentin(Hikal)-USP,ROH1,B100,985.0,KG,40385.0,USD,2026-06-05,정상,1210,2026-06-05,985.66,59652242.0,비라이선스,비라이선스
4500301540,1200,10,1001308,"Sildenafil Citrate(Hetero,USP)",ROH1,B100,164.0,KG,59040.0,USD,2026-06-01,정상,1210,2026-06-01,164.0,88748928.0,비라이선스,비라이선스
4500301928,1200,20,7000775,엔토코트(Budesonide 2.3mg) 7정,HAWA,A160,6000.0,EA,81000.0,CHF,2026-06-01,정상,1210,2026-05-12,5992.0,152066444.0,엔토코트,상품
4500302843,1200,10,1000377,Opadry AMB2 yellow 88A220003,ROH1,B110,75.0,KG,5960.25,USD,2026-06-08,정상,1210,2026-06-08,75.0,8779448.0,오파드라이,오파드라이
4500303062,1200,10,1000051,Mosapride Citrate hydrate(SUMITOMO),ROH1,B100,90.0,KG,33696000.0,JPY,2026-06-03,정상,1230,2026-05-29,90.0,320856682.0,Mosapride,라이선스
4500303467,1200,10,1000394,Opadry AMB yellow 80W22608,ROH1,B110,300.0,KG,22647.0,USD,2026-06-08,정상,1210,2026-06-08,300.0,33626266.0,오파드라이,오파드라이
4500303923,1200,10,1000201,Carvedilol(polpharma),ROH1,B100,200.0,KG,100810.0,EUR,2026-06-08,지연,1210,,0.0,0.0,비라이선스,비라이선스
4500304896,1200,20,1300501,Erdosteine(Aurore Life Sciences),ROH1,B100,2150.0,KG,307450.0,USD,2026-06-10,정상,1210,2026-06-10,2150.0,462158840.0,엘도스테인,라이선스
4500268238,1200,40,7000305,다이아벡스XR 서방정 1000MG 60T,HAWA,A900,150000.0,EA,645000.0,EUR,2026-05-30,정상,1210,2026-05-25,149370.0,1100879198.0,다이아벡스,상품
4500268239,1200,70,7000304,다이아벡스XR 서방정 500mg 60T,HAWA,A900,150000.0,EA,345000.0,EUR,2026-05-31,지연,1210,2026-06-04,153456.0,606928453.0,다이아벡스,상품
4500273472,1200,30,1000050,Metformin hydrochloride(Merck),ROH1,B100,16150.0,KG,290700.0,EUR,2026-05-30,정상,1230,2026-05-30,16150.0,501919713.0,메포민,라이선스
4500273473,1200,10,1000050,Metformin hydrochloride(Merck),ROH1,B100,16150.0,KG,290700.0,EUR,2026-05-01,정상,1230,2026-04-25,16150.0,492908013.0,메포민,라이선스
4500275613,1200,10,1001308,"Sildenafil Citrate(Hetero,USP)",ROH1,B100,100.0,KG,36000.0,USD,2026-05-04,지연,1210,2026-05-05,100.0,53038800.0,비라이선스,비라이선스
4500276184,1200,20,1000003,Aceclofenac(Almirall),ROH1,B100,475.0,KG,125875.0,EUR,2026-05-18,정상,1230,2026-05-18,475.0,220509084.0,Aceclofenac,라이선스
4500276613,1200,10,1001308,"Sildenafil Citrate(Hetero,USP)",ROH1,B100,100.0,KG,36000.0,USD,2026-05-04,지연,1210,2026-05-05,100.0,53038800.0,비라이선스,비라이선스
4500276755,1200,10,1301756,"Ruxolitinib hemifumarate(별규, Dr. Reddy)",ROH1,B100,10000.0,G,205000.0,USD,2026-05-18,지연,1210,,0.0,0.0,비라이선스,비라이선스
4500277184,1200,20,1000607,Human serum albumin  (25%),ROH1,B110,18000.0,ML,486720.0,USD,2026-05-14,정상,1220,2026-04-23,18000.0,716987232.0,알부민,라이선스
4500300126,1200,20,7300174,스타빅현탁액 20mL 100PP(20포X5EA),HAWA,A190,23000.0,EA,307280.0,USD,2026-05-01,지연,1210,2026-06-02,22777.0,449864511.0,스타빅,상품
4500300827,1200,20,1000051,Mosapride Citrate hydrate(SUMITOMO),ROH1,B100,90.0,KG,33696000.0,JPY,2026-05-01,정상,1230,2026-04-29,90.0,312361920.0,Mosapride,라이선스
4500300829,1200,10,1301430,"Mosapride Citrate hydrate(JP,SUMITOMO)",ROH1,B100,275340.0,G,103087296.0,JPY,2026-05-14,정상,1210,2026-05-14,275340.0,955619234.0,Mosapride,라이선스
