구매오더,회사코드,구매오더품번,자재,자재내역,자재유형,자재그룹,오더수량,오더단위,금액,통화,납품일,납품상태,플랜트,입고일,입고수량,입고금액(현지통화),제품군,품목유형
4500265778,1200,40,7000194,아사콜관장액 4그람/100밀리리터 7병(메살라진),HAWA,A160,11424.0,EA,145541.76,CHF,2026-04-30,정상,1210,2026-04-30,10876.0,259786594.0,아사콜,상품
4500267561,1200,40,7000800,인스타닐나잘스프레이 100㎍ 1병(펜타닐시트르산염),HAWA,A160,2500.0,EA,41025.0,EUR,2026-04-01,지연,1210,2026-04-17,2500.0,71064326.0,인스타닐,상품
4500268238,1200,30,7000305,다이아벡스XR 서방정 1000MG 60T,HAWA,A900,130000.0,EA,559000.0,EUR,2026-04-30,정상,1210,2026-03-31,133800.0,976361527.0,다이아벡스,상품
4500268239,1200,60,7000304,다이아벡스XR 서방정 500mg 60T,HAWA,A900,180000.0,EA,414000.0,EUR,2026-04-30,정상,1210,2026-04-08,172896.0,673760028.0,다이아벡스,상품
4500276184,1200,10,1000003,Aceclofenac(Almirall),ROH1,B100,475.0,KG,125875.0,EUR,2026-04-01,지연,1230,2026-04-02,475.0,218592008.0,Aceclofenac,라이선스
4500276668,1200,10,1000229,Dioctahedral Smectite(Simcere),ROH1,B100,6390.0,KG,127161.0,USD,2026-04-03,지연,1210,2026-04-16,6390.0,188172848.0,비라이선스,비라이선스
4500276783,1200,30,8000047,올메텍플러스정 반제품,HAGU,A220,1360000.0,TB,17843200.0,JPY,2026-04-01,지연,1230,2026-05-15,1359000.0,166611400.0,올메텍,반제
4500276784,1200,30,8000901,올메텍정 10mg 반제품,HAGU,A220,5200000.0,TB,41860000.0,JPY,2026-04-01,지연,1210,,0.0,0.0,올메텍,반제
4500276785,1200,30,8000037,올메텍정 20mg 반제품,HAGU,A220,3750000.0,CP,45000000.0,JPY,2026-04-01,지연,1230,,0.0,0.0,올메텍,반제
4500276786,1200,20,8000052,올메텍정 40mg 반제품,HAGU,A220,630000.0,TB,8599500.0,JPY,2026-04-01,정상,1230,2026-03-07,617000.0,78264426.0,올메텍,반제
4500277182,1200,20,1301430,"Mosapride Citrate hydrate(JP,SUMITOMO)",ROH1,B100,242020.0,G,90612288.0,JPY,2026-04-01,지연,1210,2026-04-13,242020.0,855588407.0,Mosapride,라이선스
4500300126,1200,10,7300174,스타빅현탁액 20mL 100PP(20포X5EA),HAWA,A190,23000.0,EA,307280.0,USD,2026-04-01,지연,1210,2026-05-05,22805.0,448222483.0,스타빅,상품
