구매오더,회사코드,구매오더품번,자재,자재내역,자재유형,자재그룹,오더수량,오더단위,금액,통화,납품일,납품상태,플랜트,입고일,입고수량,입고금액(현지통화),품목유형
4500301388,1300,10,1000641,Spectrablend MBH 88015(SENSIENT),ROH1,B110,1000.0,KG,33130.0,USD,2026-04-17,지연,1320,2026-04-20,1000.0,49032400.0,일반
4500303067,1300,10,1300233,Cefodizime Sodium(동잉)-KP,ROH1,B100,220.0,KG,94600.0,USD,2026-04-20,정상,1330,2026-04-16,220.0,139355260.0,세파
4500303829,1300,10,1300461,"Chenodeoxycholic acid (CDCA, [CH])",ROH1,B100,3000.0,KG,375000.0,USD,2026-04-02,정상,1310,2026-04-02,3000.0,565425000.0,UDCA
4500303965,1300,10,1300365,"crude-Choline alphoscerate (85%, HunanWa",ROH1,B100,9750.0,KG,731250.0,USD,2026-04-03,지연,1310,2026-04-07,9750.0,1102140000.0,콜린
4500304243,1300,10,1000949,Cholic acid (CA),ROH1,B100,25.0,KG,3312.5,USD,2026-04-09,정상,1310,2026-04-09,25.0,4889581.0,UDCA
4500304305,1300,10,1301804,"crude Ursodeoxycholic acid (c-UDCA, DMF)",ROH1,B100,6000.0,KG,816000.0,USD,2026-04-13,정상,1310,2026-04-14,6000.0,1207516800.0,UDCA
4500304306,1300,10,1300115,"Chenodeoxycholic acid (CDCA, CNU용)",ROH1,B100,500.0,KG,56500.0,USD,2026-04-14,정상,1310,2026-04-14,500.0,84173700.0,UDCA
4500304310,1300,10,1001079,"crude-Choline alphoscerate (85%, Weiqida",ROH1,B100,11220.0,KG,645150.0,USD,2026-04-14,정상,1310,2026-04-14,11220.0,961144470.0,콜린
4500304562,1300,10,1000954,crude Ursodeoxycholic acid (c-UDCA),ROH1,B100,6000.0,KG,885000.0,USD,2026-04-14,정상,1310,2026-04-14,6000.0,1318473000.0,UDCA
4500304564,1300,10,1400436,"Chenodeoxycholic acid(CDCA, [CH], Sic)",ROH1,B100,6000.0,KG,708000.0,USD,2026-04-21,정상,1310,2026-04-21,6000.0,1044724800.0,UDCA
4500304752,1300,10,7001090,Amoxicillin Trihydrate,HAWA,A460,6000.0,KG,168000.0,USD,2026-04-22,정상,1310,2026-04-22,6000.0,247094400.0,일반
4500304760,1300,10,1300115,"Chenodeoxycholic acid (CDCA, CNU용)",ROH1,B100,1000.0,KG,113000.0,USD,2026-04-28,정상,1310,2026-04-23,1000.0,166968800.0,UDCA
4500304918,1300,10,1000954,crude Ursodeoxycholic acid (c-UDCA),ROH1,B100,6000.0,KG,891000.0,USD,2026-04-28,정상,1310,2026-04-28,6000.0,1312532100.0,UDCA
4500304919,1300,10,1000966,"Chenodeoxycholic acid (CDCA, [C])",ROH1,B100,358.0,KG,37590.0,USD,2026-04-29,정상,1310,2026-04-29,358.0,55381347.0,UDCA
4500304972,1300,10,1400020,"Chenodeoxycholic acid(CDCA, [CH], S)",ROH1,B100,2400.0,KG,192000.0,USD,2026-04-23,정상,1310,2026-04-23,2400.0,283699200.0,UDCA
4500304973,1300,10,1001079,"crude-Choline alphoscerate (85%, Weiqida",ROH1,B100,7140.0,KG,410550.0,USD,2026-04-24,지연,1310,2026-04-29,7140.0,604863315.0,콜린
